"CALENDAR.YEAR","CATEGORY","AGENCY.NAME","X1..PIT.OFFSET.COUNT","X1..PIT.OFFSET.AMOUNT","X2..LOTTERY.OFFSET.COUNT","X2..LOTTERY.OFFSET.AMOUNT","X3..UNCLAIMED.PROPERTY.OFFSET.COUNT","X3..UNCLAIMED.PROPERTY.OFFSET.AMOUNT","Total.OFFSET.COUNT","Total.OFFSET.AMOUNT","AGENCY_CLEAN","Year","PIT_Count","PIT_Amount","Lottery_Count","Lottery_Amount","UCP_Count","UCP_Amount","Total_Count","Total_Amount","Lottery_UCP_Amount","Lottery_UCP_Count"
"CY2018","2 - CITY","CITY OF ELK GROVE 21","21","$3,777.95","","","2","$287.44","23","$4,065.39","CITY OF ELK GROVE",2018,21,3777.95,0,0,2,287.44,23,4065.39,287.44,2
"CY2018","2 - CITY","CITY OF RIDGECREST 2","2","$189.40","","","10","$108.00","12","$297.40","CITY OF RIDGECREST",2018,2,189.4,0,0,10,108,12,297.4,108,10
"CY2018","2 - CITY","CITY OF SANTA BARBARA PARKING 599","599","$81,827.08","1","$96.00","16","$887.90","616","$82,810.98","CITY OF SANTA BARBARA PARKING",2018,599,81827.08,1,96,16,887.9,616,82810.98,983.9,17
"CY2018","2 - CITY","CITY OF ESCALON 22","22","$2,925.98","1","$35.00","1","$14.00","24","$2,974.98","CITY OF ESCALON",2018,22,2925.98,1,35,1,14,24,2974.98,49,2
"CY2018","2 - CITY","CITY OF ESCONDIDO 34","34","$19,233.58","","","","","34","$19,233.58","CITY OF ESCONDIDO",2018,34,19233.58,0,0,0,0,34,19233.58,0,0
"CY2018","2 - CITY","CITY OF SAN JACINTO 498","498","$64,526.57","2","$205.00","13","$1,020.64","513","$65,752.21","CITY OF SAN JACINTO",2018,498,64526.57,2,205,13,1020.64,513,65752.21,1225.64,15
"CY2018","2 - CITY","CITY OF POWAY 7","7","$1,544.00","","","","","7","$1,544.00","CITY OF POWAY",2018,7,1544,0,0,0,0,7,1544,0,0
"CY2018","2 - CITY","CITY OF GARDEN GROVE 18","18","$5,457.46","","","","","18","$5,457.46","CITY OF GARDEN GROVE",2018,18,5457.46,0,0,0,0,18,5457.46,0,0
"CY2018","2 - CITY","GLENDALE WATER & POWER 6","6","$959.75","1","$1,000.00","1","$1.00","8","$1,960.75","GLENDALE WATER & POWER",2018,6,959.75,1,1000,1,1,8,1960.75,1001,2
"CY2018","2 - CITY","CITY OF VERNON 5","5","$485.52","","","1","$12.00","6","$497.52","CITY OF VERNON",2018,5,485.52,0,0,1,12,6,497.52,12,1
"CY2018","2 - CITY","CITY OF HAWAIIAN GARDENS 79","79","$9,534.39","","","1","$53.09","80","$9,587.48","CITY OF HAWAIIAN GARDENS",2018,79,9534.39,0,0,1,53.09,80,9587.48,53.09,1
"CY2018","2 - CITY","CITY OF HAYWARD 276","276","$48,924.95","3","$368.02","14","$732.34","293","$50,025.31","CITY OF HAYWARD",2018,276,48924.95,3,368.02,14,732.34,293,50025.31,1100.36,17
"CY2018","2 - CITY","CITY OF HEMET 29","29","$9,597.16","","","6","$233.87","35","$9,831.03","CITY OF HEMET",2018,29,9597.16,0,0,6,233.87,35,9831.03,233.87,6
"CY2018","2 - CITY","CITY OF HUNTINGTON BEACH 1,012 $117,922.64","1,012","$117,922.64","10","$1,906.00","29","$2,124.04","1,051","$121,952.68","CITY OF HUNTINGTON BEACH",2018,1012,117922.64,10,1906,29,2124.04,1051,121952.68,4030.04,39
"CY2018","2 - CITY","CITY OF LA HABRA HEIGHTS 3","3","$790.00","","","","","3","$790.00","CITY OF LA HABRA HEIGHTS",2018,3,790,0,0,0,0,3,790,0,0
"CY2018","2 - CITY","CITY OF ADELANTO 99","99","$24,305.38","","","4","$284.19","103","$24,589.57","CITY OF ADELANTO",2018,99,24305.38,0,0,4,284.19,103,24589.57,284.19,4
"CY2018","2 - CITY","CITY OF CUPERTINO 21","21","$5,277.15","1","$86.00","1","$106.00","23","$5,469.15","CITY OF CUPERTINO",2018,21,5277.15,1,86,1,106,23,5469.15,192,2
"CY2018","2 - CITY","OXNARD HOUSING AUTHORITY 15","15","$6,597.45","","","","","15","$6,597.45","OXNARD HOUSING AUTHORITY",2018,15,6597.45,0,0,0,0,15,6597.45,0,0
"CY2018","2 - CITY","CITY OF SAN GABRIEL 175","175","$25,246.56","2","$579.00","4","$465.06","181","$26,290.62","CITY OF SAN GABRIEL",2018,175,25246.56,2,579,4,465.06,181,26290.62,1044.06,6
"CY2018","2 - CITY","CITY OF RIVERSIDE 244","244","$78,900.15","1","$220.00","6","$689.84","251","$79,809.99","CITY OF RIVERSIDE",2018,244,78900.15,1,220,6,689.84,251,79809.99,909.84,7
"CY2018","2 - CITY","CITY OF LA MIRADA 124","124","$18,838.64","1","$69.00","3","$218.27","128","$19,125.91","CITY OF LA MIRADA",2018,124,18838.64,1,69,3,218.27,128,19125.91,287.27,4
"CY2018","2 - CITY","CITY OF LANCASTER 654","654","$82,771.33","2","$204.00","9","$463.07","665","$83,438.40","CITY OF LANCASTER",2018,654,82771.33,2,204,9,463.07,665,83438.4,667.07,11
"CY2018","2 - CITY","CITY OF GARDENA 537","537","$69,736.82","3","$466.00","12","$522.72","552","$70,725.54","CITY OF GARDENA",2018,537,69736.82,3,466,12,522.72,552,70725.54,988.72,15
"CY2018","2 - CITY","CITY OF NORCO 50","50","$9,912.24","","","","","50","$9,912.24","CITY OF NORCO",2018,50,9912.24,0,0,0,0,50,9912.24,0,0
"CY2018","2 - CITY","CITY OF LAWNDALE 476","476","$71,995.59","2","$217.35","14","$1,293.44","492","$73,506.38","CITY OF LAWNDALE",2018,476,71995.59,2,217.35,14,1293.44,492,73506.38,1510.79,16
"CY2018","2 - CITY","CITY OF LA VERNE 178","178","$26,030.08","","","2","$213.00","180","$26,243.08","CITY OF LA VERNE",2018,178,26030.08,0,0,2,213,180,26243.08,213,2
"CY2018","2 - CITY","CITY OF MALIBU 178","178","$21,125.38","","","6","$852.80","184","$21,978.18","CITY OF MALIBU",2018,178,21125.38,0,0,6,852.8,184,21978.18,852.8,6
"CY2018","2 - CITY","MANHATTAN BEACH ADMIN 400","400","$36,922.04","1","$168.00","15","$2,080.64","416","$39,170.68","MANHATTAN BEACH ADMIN",2018,400,36922.04,1,168,15,2080.64,416,39170.68,2248.64,16
"CY2018","2 - CITY","CITY OF MERCED 143","143","$29,454.89","2","$997.14","1","$66.00","146","$30,518.03","CITY OF MERCED",2018,143,29454.89,2,997.14,1,66,146,30518.03,1063.14,3
"CY2018","2 - CITY","CITY OF MISSION VIEJO 9","9","$3,876.00","","","5","$250.00","14","$4,126.00","CITY OF MISSION VIEJO",2018,9,3876,0,0,5,250,14,4126,250,5
"CY2018","2 - CITY","CITY OF MODESTO 83","83","$22,442.24","2","$376.90","2","$763.39","87","$23,582.53","CITY OF MODESTO",2018,83,22442.24,2,376.9,2,763.39,87,23582.53,1140.29,4
"CY2018","2 - CITY","CITY OF MORENO VALLEY 1,367 $223,295.24","1,367","$223,295.24","8","$3,344.50","35","$2,574.86","1,410","$229,214.60","CITY OF MORENO VALLEY",2018,1367,223295.24,8,3344.5,35,2574.86,1410,229214.6,5919.36,43
"CY2018","2 - CITY","CITY OF MISSION VIEJO ANIMAL 72","72","$22,171.06","1","$100.00","14","$679.66","87","$22,950.72","CITY OF MISSION VIEJO ANIMAL",2018,72,22171.06,1,100,14,679.66,87,22950.72,779.66,15
"CY2018","2 - CITY","CITY OF SAN JOSE 3,190 $576,095.28","3,190","$576,095.28","16","$5,481.00","34","$3,176.35","3,240","$584,752.63","CITY OF SAN JOSE",2018,3190,576095.28,16,5481,34,3176.35,3240,584752.63,8657.35,50
"CY2018","2 - CITY","TOWN OF YUCCA VALLEY 7","7","$7,884.50","","","1","$836.41","8","$8,720.91","TOWN OF YUCCA VALLEY",2018,7,7884.5,0,0,1,836.41,8,8720.91,836.41,1
"CY2018","2 - CITY","CITY OF MERCED 3","3","$364.06","","","","","3","$364.06","CITY OF MERCED",2018,3,364.06,0,0,0,0,3,364.06,0,0
"CY2018","2 - CITY","CITY OF NEWPORT BEACH 1,086 $136,371.94","1,086","$136,371.94","4","$592.00","41","$2,761.01","1,131","$139,724.95","CITY OF NEWPORT BEACH",2018,1086,136371.94,4,592,41,2761.01,1131,139724.95,3353.01,45
"CY2018","2 - CITY","NOVATO POLICE DEPT 47","47","$19,961.92","","","","","47","$19,961.92","NOVATO POLICE DEPT",2018,47,19961.92,0,0,0,0,47,19961.92,0,0
"CY2018","2 - CITY","CITY OF OCEANSIDE 291","291","$72,696.44","","","6","$611.27","297","$73,307.71","CITY OF OCEANSIDE",2018,291,72696.44,0,0,6,611.27,297,73307.71,611.27,6
"CY2018","2 - CITY","CITY OF LA MESA 88","88","$9,916.92","","","","","88","$9,916.92","CITY OF LA MESA",2018,88,9916.92,0,0,0,0,88,9916.92,0,0
"CY2018","2 - CITY","CITY OF PALM SPRINGS 80","80","$19,323.67","","","4","$125.81","84","$19,449.48","CITY OF PALM SPRINGS",2018,80,19323.67,0,0,4,125.81,84,19449.48,125.81,4
"CY2018","2 - CITY","CITY OF HALF MOON BAY 28","28","$3,640.90","","","1","$71.99","29","$3,712.89","CITY OF HALF MOON BAY",2018,28,3640.9,0,0,1,71.99,29,3712.89,71.99,1
"CY2018","2 - CITY","CITY OF PLACENTIA 29","29","$6,230.24","","","1","$16.65","30","$6,246.89","CITY OF PLACENTIA",2018,29,6230.24,0,0,1,16.65,30,6246.89,16.65,1
"CY2018","2 - CITY","CITY OF BRISBANE 23","23","$2,433.00","","","1","$9.49","24","$2,442.49","CITY OF BRISBANE",2018,23,2433,0,0,1,9.49,24,2442.49,9.49,1
"CY2018","2 - CITY","CITY OF POMONA 1,924 $337,186.23","1,924","$337,186.23","8","$2,238.00","33","$1,609.26","1,965","$341,033.49","CITY OF POMONA",2018,1924,337186.23,8,2238,33,1609.26,1965,341033.49,3847.26,41
"CY2018","2 - CITY","CITY OF RANCHO CUCAMONGA 49","49","$6,885.23","1","$61.00","2","$200.57","52","$7,146.80","CITY OF RANCHO CUCAMONGA",2018,49,6885.23,1,61,2,200.57,52,7146.8,261.57,3
"CY2018","2 - CITY","CITY OF REDLANDS 205","205","$39,589.80","1","$672.00","3","$490.52","209","$40,752.32","CITY OF REDLANDS",2018,205,39589.8,1,672,3,490.52,209,40752.32,1162.52,4
"CY2018","2 - CITY","CITY OF REDONDO BEACH 506","506","$72,434.13","3","$390.00","12","$856.23","521","$73,680.36","CITY OF REDONDO BEACH",2018,506,72434.13,3,390,12,856.23,521,73680.36,1246.23,15
"CY2018","2 - CITY","CITY OF REDWOOD CITY 173","173","$19,690.40","4","$628.00","4","$346.20","181","$20,664.60","CITY OF REDWOOD CITY",2018,173,19690.4,4,628,4,346.2,181,20664.6,974.2,8
"CY2018","2 - CITY","CITY OF MURRIETA 159","159","$35,347.93","","","4","$70.56","163","$35,418.49","CITY OF MURRIETA",2018,159,35347.93,0,0,4,70.56,163,35418.49,70.56,4
"CY2018","2 - CITY","CITY OF OAKLAND PARKING 3,333 $778,333.26","3,333","$778,333.26","19","$6,215.00","65","$7,777.35","3,417","$792,325.61","CITY OF OAKLAND PARKING",2018,3333,778333.26,19,6215,65,7777.35,3417,792325.61,13992.35,84
"CY2018","2 - CITY","CITY OF CULVER CITY 510","510","$75,335.07","2","$217.00","13","$1,283.89","525","$76,835.96","CITY OF CULVER CITY",2018,510,75335.07,2,217,13,1283.89,525,76835.96,1500.89,15
"CY2018","2 - CITY","CITY OF MENIFEE 69","69","$14,415.42","","","8","$458.17","77","$14,873.59","CITY OF MENIFEE",2018,69,14415.42,0,0,8,458.17,77,14873.59,458.17,8
"CY2018","2 - CITY","CITY OF SAN CLEMENTE 179","179","$19,285.52","4","$577.00","8","$439.37","191","$20,301.89","CITY OF SAN CLEMENTE",2018,179,19285.52,4,577,8,439.37,191,20301.89,1016.37,12
"CY2018","2 - CITY","CITY OF SANTA MONICA 770 $110,243.30","770","$110,243.30","5","$1,605.00","10","$1,150.81","785","$112,999.11","CITY OF SANTA MONICA",2018,770,110243.3,5,1605,10,1150.81,785,112999.11,2755.81,15
"CY2018","2 - CITY","CITY OF FOUNTAIN VALLEY 89","89","$9,991.46","1","$261.00","1","$2.50","91","$10,254.96","CITY OF FOUNTAIN VALLEY",2018,89,9991.46,1,261,1,2.5,91,10254.96,263.5,2
"CY2018","2 - CITY","CITY OF RIPON 6","6","$558.00","","","2","$161.00","8","$719.00","CITY OF RIPON",2018,6,558,0,0,2,161,8,719,161,2
