CALENDAR YEAR,CATEGORY,AGENCY NAME,1. PIT OFFSET COUNT,1. PIT OFFSET AMOUNT,2. LOTTERY OFFSET COUNT,2. LOTTERY OFFSET AMOUNT,3. UNCLAIMED PROPERTY OFFSET COUNT,3. UNCLAIMED PROPERTY OFFSET AMOUNT,Total OFFSET COUNT,Total OFFSET AMOUNT
CY2018,2 - CITY,CITY OF MODESTO,83,"$22,442.24",2,$376.90,2,$763.39,87,"$23,582.53"
CY2018,2 - CITY,CITY OF MORENO VALLEY,"1,367","$223,295.24",8,"$3,344.50",35,"$2,574.86","1,410","$229,214.60"
CY2018,2 - CITY,CITY OF MISSION VIEJO ANIMAL,72,"$22,171.06",1,$100.00,14,$679.66,87,"$22,950.72"
CY2018,2 - CITY,CITY OF SAN JOSE,"3,190","$576,095.28",16,"$5,481.00",34,"$3,176.35","3,240","$584,752.63"
CY2018,2 - CITY,TOWN OF YUCCA,7,"$7,884.50",1,$836.41,,,8,"$8,720.91"
CY2018,2 - CITY,CITY OF MERCED,3,$364.06,,,,,3,$364.06
CY2018,2 - CITY,CITY OF NEWPORT BEACH,"1,086","$136,371.94",4,$592.00,41,"$2,761.01","1,131","$139,724.95"
CY2018,2 - CITY,POLICE DEPT,47,"$19,961.92",,,,,47,"$19,961.92"
CY2018,2 - CITY,CITY OF,291,"$72,696.44",6,$611.27,,,297,"$73,307.71"
CY2018,2 - CITY,CITY OF LA MESA,88,"$9,916.92",,,,,88,"$9,916.92"
CY2018,2 - CITY,CITY OF PALM,80,"$19,323.67",4,$125.81,,,84,"$19,449.48"
CY2018,2 - CITY,MOON BAY CITY OF,28,"$3,640.90",1,$71.99,,,29,"$3,712.89"
CY2018,2 - CITY,PLACENTIA CITY,29,"$6,230.24",1,$16.65,,,30,"$6,246.89"
CY2018,2 - CITY,OF BRISBANE,23,"$2,433.00",1,$9.49,,,24,"$2,442.49"
CY2018,2 - CITY,CITY OF POMONA,"1,924","$337,186.23",8,"$2,238.00",33,"$1,609.26","1,965","$341,033.49"
CY2018,2 - CITY,CITY OF RANCHO,49,"$6,885.23",1,$61.00,2,$200.57,52,"$7,146.80"
CY2018,2 - CITY,CITY OF,205,"$39,589.80",1,$672.00,3,$490.52,209,"$40,752.32"
CY2018,2 - CITY,CITY OF REDONDO,506,"$72,434.13",3,$390.00,12,$856.23,521,"$73,680.36"
CY2018,2 - CITY,CITY OF REDWOOD,173,"$19,690.40",4,$628.00,4,$346.20,181,"$20,664.60"
